,date,usdkrw
0,2019-02-28,1124.0
1,2019-02-27,1119.0
2,2019-02-26,1118.5
3,2019-02-25,1120.0
4,2019-02-22,1125.0
5,2019-02-21,1126.0
6,2019-02-20,1123.5
7,2019-02-19,1128.5
8,2019-02-18,1126.0
9,2019-02-15,1129.5
10,2019-02-14,1127.0
11,2019-02-13,1123.0
12,2019-02-12,1125.5
13,2019-02-11,1125.5
14,2019-02-08,1124.0
15,2019-02-07,1126.0
16,2019-02-01,1119.0
17,2019-01-31,1113.0
18,2019-01-30,1118.5
19,2019-01-29,1119.0
20,2019-01-28,1119.0
21,2019-01-25,1121.0
22,2019-01-24,1130.0
23,2019-01-23,1128.5
24,2019-01-22,1132.0
25,2019-01-21,1130.5
26,2019-01-18,1122.5
27,2019-01-17,1124.0
28,2019-01-16,1122.5
29,2019-01-15,1124.0
30,2019-01-14,1123.5
31,2019-01-11,1116.0
32,2019-01-10,1119.0
33,2019-01-09,1121.7
34,2019-01-08,1126.0
35,2019-01-07,1120.0
36,2019-01-04,1124.0
37,2019-01-03,1127.5
38,2019-01-02,1122.5
39,2018-12-31,1116.0
40,2018-12-28,1117.0
41,2018-12-27,1122.0
42,2018-12-26,1125.8
43,2018-12-24,1126.0
44,2018-12-21,1124.5
45,2018-12-20,1123.0
46,2018-12-19,1126.5
47,2018-12-18,1129.5
48,2018-12-17,1131.5
49,2018-12-14,1134.5
50,2018-12-13,1125.0
51,2018-12-12,1129.0
52,2018-12-11,1130.5
53,2018-12-10,1128.0
54,2018-12-07,1122.5
55,2018-12-06,1121.5
56,2018-12-05,1113.5
57,2018-12-04,1106.5
58,2018-12-03,1113.0
59,2018-11-30,1122.0
60,2018-11-29,1121.0
61,2018-11-28,1128.5
62,2018-11-27,1130.0
63,2018-11-26,1129.0
64,2018-11-23,1132.5
65,2018-11-22,1130.5
66,2018-11-21,1130.0
67,2018-11-20,1128.5
68,2018-11-19,1127.5
69,2018-11-16,1132.0
70,2018-11-15,1131.0
71,2018-11-14,1133.0
72,2018-11-13,1134.0
73,2018-11-12,1137.5
74,2018-11-09,1129.0
75,2018-11-08,1117.0
76,2018-11-07,1121.0
77,2018-11-06,1124.5
78,2018-11-05,1125.0
79,2018-11-02,1118.0
80,2018-11-01,1133.0
81,2018-10-31,1140.5
82,2018-10-30,1139.5
83,2018-10-29,1142.0
84,2018-10-26,1142.5
85,2018-10-25,1138.0
86,2018-10-24,1134.0
87,2018-10-23,1137.5
88,2018-10-22,1132.0
89,2018-10-19,1132.5
90,2018-10-18,1135.5
91,2018-10-17,1127.0
92,2018-10-16,1124.5
93,2018-10-15,1133.0
94,2018-10-12,1133.0
95,2018-10-11,1142.0
96,2018-10-10,1136.8
97,2018-10-08,1138.0
98,2018-10-05,1130.5
99,2018-10-04,1129.5
100,2018-10-02,1120.0
101,2018-10-01,1111.5
102,2018-09-28,1111.0
103,2018-09-27,1112.5
104,2018-09-21,1116.5
105,2018-09-20,1119.0
106,2018-09-19,1122.0
107,2018-09-18,1124.0
108,2018-09-17,1126.5
109,2018-09-14,1119.5
110,2018-09-13,1122.5
111,2018-09-12,1128.5
112,2018-09-11,1128.5
113,2018-09-10,1129.0
114,2018-09-07,1124.0
115,2018-09-06,1122.0
116,2018-09-05,1123.5
117,2018-09-04,1117.5
118,2018-09-03,1113.0
119,2018-08-31,1117.5
120,2018-08-30,1110.5
121,2018-08-29,1114.0
122,2018-08-28,1107.0
123,2018-08-27,1114.0
124,2018-08-24,1117.5
125,2018-08-23,1122.5
126,2018-08-22,1119.0
127,2018-08-21,1119.0
128,2018-08-20,1122.5
129,2018-08-17,1125.0
130,2018-08-16,1129.0
131,2018-08-14,1130.0
132,2018-08-13,1135.0
133,2018-08-10,1129.5
134,2018-08-09,1119.0
135,2018-08-08,1121.5
136,2018-08-07,1121.0
137,2018-08-06,1126.0
138,2018-08-03,1127.0
139,2018-08-02,1129.5
140,2018-08-01,1119.5
141,2018-07-31,1118.5
142,2018-07-30,1118.0
143,2018-07-27,1118.0
144,2018-07-26,1121.0
145,2018-07-25,1125.0
146,2018-07-24,1132.5
147,2018-07-23,1135.0
148,2018-07-20,1135.0
149,2018-07-19,1138.0
150,2018-07-18,1133.2
151,2018-07-17,1127.5
152,2018-07-16,1129.0
153,2018-07-13,1133.0
154,2018-07-12,1126.0
155,2018-07-11,1122.0
156,2018-07-10,1117.0
157,2018-07-09,1112.5
158,2018-07-06,1117.0
159,2018-07-05,1119.0
160,2018-07-04,1117.0
161,2018-07-03,1115.0
162,2018-07-02,1121.0
163,2018-06-29,1114.5
164,2018-06-28,1124.0
165,2018-06-27,1120.0
166,2018-06-26,1118.0
167,2018-06-25,1115.2
168,2018-06-22,1112.5
169,2018-06-21,1112.5
170,2018-06-20,1106.5
171,2018-06-19,1116.0
172,2018-06-18,1104.5
173,2018-06-15,1099.0
174,2018-06-14,1082.5
175,2018-06-12,1078.0
176,2018-06-11,1075.5
177,2018-06-08,1077.0
178,2018-06-07,1069.5
179,2018-06-05,1071.0
180,2018-06-04,1070.0
181,2018-06-01,1075.5
182,2018-05-31,1078.0
183,2018-05-30,1080.0
184,2018-05-29,1080.0
185,2018-05-28,1075.0
186,2018-05-25,1079.0
187,2018-05-24,1079.0
188,2018-05-23,1082.5
