,index,date,close
0,17,2019-02-28,25916.0
1,18,2019-02-27,25985.1602
2,19,2019-02-26,26057.9805
3,20,2019-02-25,26091.9492
4,21,2019-02-22,26031.8105
5,22,2019-02-21,25850.6309
6,23,2019-02-20,25954.4395
7,24,2019-02-19,25891.3203
8,25,2019-02-15,25883.25
9,26,2019-02-14,25439.3906
10,27,2019-02-13,25543.2695
11,28,2019-02-12,25425.7598
12,29,2019-02-11,25053.1094
13,30,2019-02-08,25106.3301
14,31,2019-02-07,25169.5293
15,32,2019-02-06,25390.3008
16,33,2019-02-05,25411.5195
17,34,2019-02-04,25239.3691
18,35,2019-02-01,25063.8906
19,36,2019-01-31,24999.6699
20,37,2019-01-30,25014.8594
21,38,2019-01-29,24579.9609
22,39,2019-01-28,24528.2207
23,40,2019-01-25,24737.1992
24,41,2019-01-24,24553.2402
25,42,2019-01-23,24575.6191
26,43,2019-01-22,24404.4805
27,44,2019-01-18,24706.3496
28,45,2019-01-17,24370.0996
29,46,2019-01-16,24207.1602
30,47,2019-01-15,24065.5898
31,48,2019-01-14,23909.8398
32,49,2019-01-11,23995.9492
33,50,2019-01-10,24001.9199
34,51,2019-01-09,23879.1191
35,52,2019-01-08,23787.4492
36,53,2019-01-07,23531.3496
37,54,2019-01-04,23433.1602
38,55,2019-01-03,22686.2207
39,56,2019-01-02,23346.2402
40,57,2018-12-31,23327.4609
41,58,2018-12-28,23062.4004
42,59,2018-12-27,23138.8203
43,60,2018-12-26,22878.4492
44,61,2018-12-24,21792.1992
45,62,2018-12-21,22445.3691
46,63,2018-12-20,22859.5996
47,64,2018-12-19,23323.6602
48,65,2018-12-18,23675.6406
49,66,2018-12-17,23592.9805
50,67,2018-12-14,24100.5098
51,68,2018-12-13,24597.3809
52,69,2018-12-12,24527.2695
53,70,2018-12-11,24370.2402
54,71,2018-12-10,24423.2598
55,72,2018-12-07,24388.9492
56,73,2018-12-06,24947.6699
57,74,2018-12-04,25027.0703
58,75,2018-12-03,25826.4297
59,76,2018-11-30,25538.4609
60,77,2018-11-29,25338.8398
61,78,2018-11-28,25366.4297
62,79,2018-11-27,24748.7305
63,80,2018-11-26,24640.2402
64,81,2018-11-23,24285.9492
65,82,2018-11-21,24464.6895
66,83,2018-11-20,24465.6406
67,84,2018-11-19,25017.4395
68,85,2018-11-16,25413.2207
69,86,2018-11-15,25289.2695
70,87,2018-11-14,25080.5
71,88,2018-11-13,25286.4902
72,89,2018-11-12,25387.1797
73,90,2018-11-09,25989.3008
74,91,2018-11-08,26191.2207
75,92,2018-11-07,26180.3008
76,93,2018-11-06,25635.0098
77,94,2018-11-05,25461.6992
78,95,2018-11-02,25270.8301
79,96,2018-11-01,25380.7402
80,97,2018-10-31,25115.7598
81,98,2018-10-30,24874.6406
82,99,2018-10-29,24442.9199
83,100,2018-10-26,24688.3105
84,101,2018-10-25,24984.5508
85,102,2018-10-24,24583.4199
86,103,2018-10-23,25191.4297
87,104,2018-10-22,25317.4102
88,105,2018-10-19,25444.3398
89,106,2018-10-18,25379.4492
90,107,2018-10-17,25706.6797
91,108,2018-10-16,25798.4199
92,109,2018-10-15,25250.5508
93,110,2018-10-12,25339.9902
94,111,2018-10-11,25052.8301
95,112,2018-10-10,25598.7402
96,113,2018-10-09,26430.5703
97,114,2018-10-08,26486.7793
98,115,2018-10-05,26447.0508
99,116,2018-10-04,26627.4805
100,117,2018-10-03,26828.3906
101,118,2018-10-02,26773.9395
102,119,2018-10-01,26651.2109
103,120,2018-09-28,26458.3105
104,121,2018-09-27,26439.9297
105,122,2018-09-26,26385.2793
106,123,2018-09-25,26492.2109
107,124,2018-09-24,26562.0508
108,125,2018-09-21,26743.5
109,126,2018-09-20,26656.9805
110,127,2018-09-19,26405.7598
111,128,2018-09-18,26246.9609
112,129,2018-09-17,26062.1191
113,130,2018-09-14,26154.6699
114,131,2018-09-13,26145.9902
115,132,2018-09-12,25998.9199
116,133,2018-09-11,25971.0605
117,134,2018-09-10,25857.0703
118,135,2018-09-07,25916.5391
119,136,2018-09-06,25995.8691
120,137,2018-09-05,25974.9902
121,138,2018-09-04,25952.4805
122,139,2018-08-31,25964.8203
123,140,2018-08-30,25986.9199
124,141,2018-08-29,26124.5703
125,142,2018-08-28,26064.0195
126,143,2018-08-27,26049.6406
127,144,2018-08-24,25790.3496
128,145,2018-08-23,25656.9805
129,146,2018-08-22,25733.5996
130,147,2018-08-21,25822.2891
131,148,2018-08-20,25758.6895
132,149,2018-08-17,25669.3203
133,150,2018-08-16,25558.7305
134,151,2018-08-15,25162.4102
135,152,2018-08-14,25299.9199
136,153,2018-08-13,25187.6992
137,154,2018-08-10,25313.1406
138,155,2018-08-09,25509.2305
139,156,2018-08-08,25583.75
140,157,2018-08-07,25628.9102
141,158,2018-08-06,25502.1797
142,159,2018-08-03,25462.5801
143,160,2018-08-02,25326.1602
144,161,2018-08-01,25333.8203
145,162,2018-07-31,25415.1895
146,163,2018-07-30,25306.8301
147,164,2018-07-27,25451.0605
148,165,2018-07-26,25527.0703
149,166,2018-07-25,25414.0996
150,167,2018-07-24,25241.9395
151,168,2018-07-23,25044.2891
152,169,2018-07-20,25058.1191
153,170,2018-07-19,25064.5
154,171,2018-07-18,25199.2891
155,172,2018-07-17,25119.8906
