,date,oil_du
0,2019-02-28,64.58
1,2019-02-27,64.6
2,2019-02-26,64.53
3,2019-02-25,64.5
4,2019-02-22,64.92
5,2019-02-21,64.93
6,2019-02-20,64.95
7,2019-02-19,64.66
8,2019-02-15,64.68
9,2019-02-14,64.06
10,2019-02-13,63.29
11,2019-02-12,62.51
12,2019-02-11,61.65
13,2019-02-08,62.16
14,2019-02-07,61.79
15,2019-02-06,62.71
16,2019-02-05,62.08
17,2019-02-04,62.55
18,2019-02-01,62.62
19,2019-01-31,60.53
20,2019-01-30,59.05
21,2019-01-29,59.05
22,2019-01-28,58.92
23,2019-01-25,59.23
24,2019-01-24,59.16
25,2019-01-23,59.08
26,2019-01-22,59.1
27,2019-01-18,59.52
28,2019-01-17,58.86
29,2019-01-16,58.87
30,2019-01-15,58.51
31,2019-01-14,57.64
32,2019-01-11,58.38
33,2019-01-10,59.09
34,2019-01-09,58.9
35,2019-01-08,56.87
36,2019-01-07,55.62
37,2019-01-04,55.47
38,2019-01-03,54.76
39,2019-01-02,53.89
40,2018-12-28,57.32
41,2018-12-27,57.28
42,2018-12-26,57.42
43,2018-12-24,56.93
44,2018-12-21,57.48
45,2018-12-20,57.53
46,2018-12-19,58.21
47,2018-12-18,57.92
48,2018-12-17,59.14
49,2018-12-14,59.35
50,2018-12-13,59.92
51,2018-12-12,59.24
52,2018-12-11,59.14
53,2018-12-10,59.01
54,2018-12-07,60.2
55,2018-12-06,59.21
56,2018-12-05,60.46
57,2018-12-04,61.05
58,2018-12-03,60.52
59,2018-11-30,65.56
60,2018-11-29,65.59
61,2018-11-28,65.52
62,2018-11-27,65.59
63,2018-11-26,65.63
64,2018-11-23,65.35
65,2018-11-21,66.47
66,2018-11-20,66.06
67,2018-11-19,67.68
68,2018-11-16,67.6
69,2018-11-15,67.55
70,2018-11-14,67.26
71,2018-11-13,66.91
72,2018-11-12,69.81
73,2018-11-09,69.82
74,2018-11-08,69.98
75,2018-11-07,71.06
76,2018-11-06,70.99
77,2018-11-05,71.88
78,2018-11-02,71.54
79,2018-11-01,71.56
80,2018-10-31,73.51
81,2018-10-30,79.35
82,2018-10-29,79.41
83,2018-10-26,79.45
84,2018-10-25,79.38
85,2018-10-24,79.28
86,2018-10-23,79.32
87,2018-10-22,80.19
88,2018-10-19,80.08
89,2018-10-18,80.03
90,2018-10-17,80.25
91,2018-10-16,80.85
92,2018-10-15,80.39
93,2018-10-12,80.37
94,2018-10-11,80.19
95,2018-10-10,81.85
96,2018-10-09,83.26
97,2018-10-08,82.58
98,2018-10-05,82.71
99,2018-10-04,82.78
100,2018-10-03,84.12
101,2018-10-02,82.66
102,2018-10-01,82.82
103,2018-09-28,77.25
104,2018-09-27,77.22
105,2018-09-26,77.1
106,2018-09-25,77.14
107,2018-09-24,77.02
108,2018-09-21,76.48
109,2018-09-20,76.44
110,2018-09-19,76.65
111,2018-09-18,76.5
112,2018-09-17,76.06
113,2018-09-14,76.13
114,2018-09-13,76.22
115,2018-09-12,77.1
116,2018-09-11,76.72
117,2018-09-10,75.56
118,2018-09-07,75.04
119,2018-09-06,74.69
120,2018-09-05,75.53
121,2018-09-04,76.4
122,2018-08-31,72.49
123,2018-08-30,72.51
124,2018-08-29,72.49
125,2018-08-28,72.39
126,2018-08-27,72.45
127,2018-08-24,72.39
128,2018-08-23,72.07
129,2018-08-22,72.06
130,2018-08-21,71.38
131,2018-08-20,71.18
132,2018-08-17,71.07
133,2018-08-16,70.88
134,2018-08-15,70.53
135,2018-08-14,71.41
136,2018-08-13,71.52
137,2018-08-10,71.71
138,2018-08-09,71.14
139,2018-08-08,71.29
140,2018-08-07,72.91
141,2018-08-06,72.35
142,2018-08-03,71.89
143,2018-08-02,72.2
144,2018-08-01,70.83
145,2018-07-31,72.37
146,2018-07-30,73.15
147,2018-07-27,73.14
148,2018-07-26,73.14
149,2018-07-25,73.01
150,2018-07-24,72.82
151,2018-07-23,72.67
152,2018-07-20,72.59
153,2018-07-19,72.44
154,2018-07-18,72.72
155,2018-07-17,72.37
156,2018-07-16,72.01
157,2018-07-13,73.82
158,2018-07-12,73.23
159,2018-07-11,72.35
160,2018-07-10,75.73
161,2018-07-09,75.08
162,2018-07-06,74.25
163,2018-07-05,74.53
164,2018-07-03,74.88
165,2018-07-02,74.33
166,2018-06-29,73.59
167,2018-06-28,73.57
168,2018-06-27,73.58
169,2018-06-26,73.44
170,2018-06-25,73.15
171,2018-06-22,73.3
172,2018-06-21,72.63
173,2018-06-20,73.02
174,2018-06-19,73.19
175,2018-06-18,73.49
176,2018-06-15,72.79
177,2018-06-14,73.94
178,2018-06-13,74.46
179,2018-06-12,73.97
180,2018-06-11,74.37
181,2018-06-08,74.3
182,2018-06-07,74.88
183,2018-06-06,73.42
184,2018-06-05,73.38
185,2018-06-04,73.15
186,2018-06-01,74.11
187,2018-05-31,74.79
188,2018-05-30,74.44
189,2018-05-29,74.58
190,2018-05-25,74.45
191,2018-05-24,74.78
192,2018-05-23,74.98
193,2018-05-22,74.91
194,2018-05-21,74.79
195,2018-05-18,74.45
196,2018-05-17,74.67
197,2018-05-16,74.59
198,2018-05-15,74.04
199,2018-05-14,74.02
200,2018-05-11,73.48
201,2018-05-10,73.68
202,2018-05-09,73.37
203,2018-05-08,71.73
204,2018-05-07,72.83
205,2018-05-04,71.78
206,2018-05-03,70.71
207,2018-05-02,70.44
208,2018-05-01,70.55
209,2018-04-30,68.27
210,2018-04-27,68.28
211,2018-04-26,68.28
212,2018-04-25,68.16
213,2018-04-24,68.2
214,2018-04-23,68.41
215,2018-04-20,68.29
216,2018-04-19,68.18
217,2018-04-18,68.16
218,2018-04-17,67.38
219,2018-04-16,67.25
220,2018-04-13,67.8
221,2018-04-12,67.66
222,2018-04-11,67.78
223,2018-04-10,67.27
224,2018-04-09,65.83
225,2018-04-06,64.65
226,2018-04-05,65.46
227,2018-04-04,65.17
228,2018-04-03,65.16
229,2018-04-02,64.62
230,2018-03-29,66.19
231,2018-03-28,62.68
232,2018-03-27,62.76
233,2018-03-26,62.77
234,2018-03-23,62.84
235,2018-03-22,62.62
236,2018-03-21,62.84
